order_id,user_id,created_at,discount_cost,basket
809,698,1/15/2022,8000,10000
810,699,1/15/2022,0,19800
811,700,1/15/2022,10000,6000
812,701,1/15/2022,10000,20000
813,436,1/15/2022,0,15000
814,702,1/15/2022,6000,15000
815,703,1/15/2022,0,20000
816,135,1/15/2022,0,18000
817,704,1/15/2022,10000,10000
818,705,1/15/2022,0,60000
819,706,1/15/2022,0,9000
820,707,1/15/2022,10000,6000
821,708,1/15/2022,10000,25000
822,709,1/15/2022,0,9000
823,710,1/15/2022,10000,25000
824,711,1/15/2022,0,60000
825,712,1/15/2022,0,20000
826,713,1/15/2022,0,8000
827,714,1/16/2022,0,24000
828,715,1/16/2022,12000,21000
829,654,1/16/2022,0,32000
830,716,1/16/2022,0,16000
831,717,1/16/2022,10000,26000
832,718,1/16/2022,10000,10000
833,719,1/16/2022,0,20000
834,720,1/16/2022,0,9000
835,415,1/16/2022,0,10000
836,27,1/16/2022,0,20000
837,721,1/16/2022,10000,8000
838,241,1/16/2022,0,27000
839,722,1/16/2022,0,8000
840,271,1/16/2022,0,15000
841,404,1/16/2022,0,18000
842,723,1/16/2022,0,18000
843,322,1/16/2022,0,10000
844,724,1/16/2022,0,10000
845,725,1/16/2022,0,23500
846,726,1/16/2022,10000,10000
847,727,1/16/2022,15000,10000
848,728,1/16/2022,10000,14000
849,729,1/16/2022,0,18000
